width,length,type,region,model,height-min,height-max,stories,shape,library,tags
6.0,6.0,residential,,objects/Blacky75/New-Red/RES_06x06_TypeNew1_RoofRed-1.obj,,,2,SQ,Blacky75,red;new
6.0,6.0,residential,,objects/Blacky75/New-Red/RES_06x06_TypeNew1_RoofRed-2.obj,,,2,SQ,Blacky75,red;new
6.0,6.0,residential,,objects/Blacky75/New-Red/RES_06x06_TypeNew1_RoofRed-3.obj,,,2,SQ,Blacky75,red;new
6.0,6.0,residential,,objects/Blacky75/New-Red/RES_06x06_TypeNew1_RoofRed-4.obj,,,2,SQ,Blacky75,red;new
5.0,7.0,residential,,objects/Blacky75/New-Red/RES_07x05_TypeNew1_RoofRed-1.obj,,,2,SQ,Blacky75,red;new
5.0,7.0,residential,,objects/Blacky75/New-Red/RES_07x05_TypeNew1_RoofRed-2.obj,,,2,SQ,Blacky75,red;new
5.0,7.0,residential,,objects/Blacky75/New-Red/RES_07x05_TypeNew1_RoofRed-3.obj,,,2,SQ,Blacky75,red;new
5.0,7.0,residential,,objects/Blacky75/New-Red/RES_07x05_TypeNew1_RoofRed-4.obj,,,2,SQ,Blacky75,red;new
6.0,7.0,residential,,objects/Blacky75/New-Red/RES_07x06_TypeNew1_RoofRed-1.obj,,,2,SQ,Blacky75,red;new
6.0,7.0,residential,,objects/Blacky75/New-Red/RES_07x06_TypeNew1_RoofRed-2.obj,,,2,SQ,Blacky75,red;new
6.0,7.0,residential,,objects/Blacky75/New-Red/RES_07x06_TypeNew1_RoofRed-3.obj,,,2,SQ,Blacky75,red;new
6.0,7.0,residential,,objects/Blacky75/New-Red/RES_07x06_TypeNew1_RoofRed-4.obj,,,2,SQ,Blacky75,red;new
7.0,7.0,residential,,objects/Blacky75/New-Red/RES_07x07_TypeNew1_RoofRed-1.obj,,,2,SQ,Blacky75,red;new
7.0,7.0,residential,,objects/Blacky75/New-Red/RES_07x07_TypeNew1_RoofRed-2.obj,,,2,SQ,Blacky75,red;new
7.0,7.0,residential,,objects/Blacky75/New-Red/RES_07x07_TypeNew1_RoofRed-3.obj,,,2,SQ,Blacky75,red;new
7.0,7.0,residential,,objects/Blacky75/New-Red/RES_07x07_TypeNew1_RoofRed-4.obj,,,2,SQ,Blacky75,red;new
8.0,5.0,residential,,objects/Blacky75/New-Red/RES_08x05_TypeNew1_RoofRed-1.obj,,,2,SQ,Blacky75,red;new
8.0,5.0,residential,,objects/Blacky75/New-Red/RES_08x05_TypeNew1_RoofRed-2.obj,,,2,SQ,Blacky75,red;new
8.0,5.0,residential,,objects/Blacky75/New-Red/RES_08x05_TypeNew1_RoofRed-3.obj,,,2,SQ,Blacky75,red;new
8.0,5.0,residential,,objects/Blacky75/New-Red/RES_08x05_TypeNew1_RoofRed-4.obj,,,2,SQ,Blacky75,red;new
8.0,6.0,residential,,objects/Blacky75/New-Red/RES_08x06_TypeNew1_RoofRed-1.obj,,,2,SQ,Blacky75,red;new
8.0,6.0,residential,,objects/Blacky75/New-Red/RES_08x06_TypeNew1_RoofRed-2.obj,,,2,SQ,Blacky75,red;new
